1736Y-13384,2SE-161
1736Y-13387,2SE-036
1736Y-13388,2SE-041
1736Y-13389,GSW-243
1736Y-13390,2NW-145
1736Y-13391,2SE-008
1736Y-13392,2SE-042
1736Y-13393,2SE-157
1736Y-13394,GSW-230
1736Y-13395,GSE-119
1736Y-13396,GSW-221
1736Y-13397,GSW-218
1736Y-13398,7NE-006
1736Y-13399,7NE-007
1736Y-13400,GSW-072
1736Y-13401,GSW-235
1736Y-13402,2SW-180
1736Y-13403,BNW-033
1736Y-13404,7NE-013
1736Y-13405,GNE-330
1736Y-13406,GSE-116
1736Y-13407,GNE-297
1736Y-13408,2SW-084
1736Y-13409,3SW-045
1736Y-13410,5SW-105
1736Y-13411,7NE-015
1736Y-13412,GSE-121
1736Y-13413,7NW-009
1736Y-13414,5SE-089
1736Y-13415,GSW-220
1736Y-13416,GSW-231
1736Y-13417,5SW-096
1736Y-13418,1SW-157
1736Y-13419,3SE-003
1736Y-13420,3SW-011
1736Y-13421,GNE-320
1736Y-13422,5SW-100
1736Y-13423,2SW-160
1736Y-13424,7NW-012
1736Y-13425,2NW-158
1736Y-13426,2NW-117
1736Y-13427,GSE-120
1736Y-13428,2NE-150
1736Y-13429,GSW-234
1736Y-13430,2SE-028
1736Y-13431,4NW-081
1736Y-13432,4NW-064
1736Y-13433,GNE-327
1736Y-13434,6NE-033
1736Y-13435,4NW-070
1736Y-13436,6NE-027
1736Y-13437,4NW-073
1736Y-13438,1NE-263
1736Y-13439,4NW-023
1736Y-13440,BNW-080
1736Y-13441,1NE-145
1736Y-13442,4NW-096
1736Y-13443,4NW-050
1736Y-13444,6NW-040
1736Y-13445,4NW-032
1736Y-13446,1SW-147
1736Y-13447,GNE-190
1736Y-13448,5SW-090
1736Y-13449,1SW-117
1736Y-13450,1NE-087
1736Y-13451,5SW-087
1736Y-13452,5SE-083
1736Y-13453,5SE-098
1736Y-13454,5SE-092
1736Y-13455,3SW-035
1736Y-13456,3SW-005
1736Y-13457,4NW-028
1736Y-13458,BNE-018
1736Y-13459,GNE-037
1736Y-13460,5SE-123
1736Y-13461,GNE-167
1736Y-13462,1NE-002
1736Y-13463,5NW-115
1736Y-13464,6NW-028
1736Y-13465,1NE-153
1736Y-13466,1NW-126
1736Y-13467,BNE-085
1736Y-13468,3SW-002
1736Y-13469,3SW-026
1736Y-13470,BNE-062
1736Y-13471,4NW-093
1736Y-13472,6NW-029
1736Y-13473,1NW-320
1736Y-13474,GNE-072
1736Y-13475,1NW-377
1736Y-13476,4NE-172
1736Y-13477,4NW-015
1736Y-13479,4NW-038
1736Y-13480,3SW-014
1736Y-13481,GSE-036
1736Y-13482,4SE-182
1736Y-13483,5SW-108
1736Y-13484,8NE-007
1736Y-13485,GNW-220
1736Y-13486,1NE-094
1736Y-13487,4NW-002
1736Y-13488,1SW-074
