1736Y-1338400000,NBH-L2SE-AP251,D8:84:66:E2:43:28,56,11,172.21.69.8,NBH-A19-SW-2SE-Gi1/0/5
1736Y-1338700000,NBH-L2SE-AP250,D8:84:66:E2:43:37,48,6,172.21.68.153,NBH-A19-SW-2SE-Gi2/0/2
1736Y-1338800000,NBH-L2NE-AP253,D8:84:66:E2:43:3C,40,6,172.21.68.105,NBH-A19-SW-2SE-Gi1/0/1
1736Y-1338900000,NBH-GSW-AP052,D8:84:66:E2:43:41,36,1,172.21.71.76,NBH-A09-SW-GSW-Gi1/0/9
1736Y-1339000000,NBH-L2NW-AP254,D8:84:66:E2:43:46,48,11,172.21.70.247,NBH-A18-SW-2NW-Gi1/0/2
1736Y-1339100000,NBH-L2SE-AP252,D8:84:66:E2:43:4B,149,6,172.21.70.189,NBH-A19-SW-2SE-Gi1/0/3
1736Y-1339200000,NBH-L2SE-AP255,D8:84:66:E2:43:50,56,1,172.21.71.40,NBH-A19-SW-2SE-Gi2/0/3
1736Y-1339300000,NBH-L2SE-AP256,D8:84:66:E2:43:55,48,1,172.21.70.193,NBH-A19-SW-2SE-Gi4/0/4
1736Y-1339400000,NBH-GSW-AP053,D8:84:66:E2:43:5A,157,6,172.21.69.28,NBH-A09-SW-GSW-Gi2/0/10
1736Y-1339500000,NBH-GSE-AP051,D8:84:66:E2:43:5F,153,6,172.21.71.37,NBH-A08-SW-GSE-Gi2/0/17
1736Y-1339600000,NBH-GSW-AP056,D8:84:66:E2:43:64,44,1,172.21.71.100,NBH-A09-SW-GSW-Gi1/0/11
1736Y-1339700000,NBH-GSW-AP637,D8:84:66:E2:43:69,153,1,172.21.69.106,NBH-A09-SW-GSW-Gi5/0/47
1736Y-1339800000,NBH-L7NE-AP615,D8:84:66:E2:43:6E,157,6,172.21.71.160,NBH-A37-SW-7NE-Gi1/0/20
1736Y-1339900000,NBH-L7NE-AP614,D8:84:66:E2:43:73,161,11,172.21.71.127,NBH-A37-SW-7NE-Gi1/0/19
1736Y-1340000000,NBH-GSW-AP054,D8:84:66:E2:43:78,157,1,172.21.71.35,NBH-A09-SW-GSW-Gi3/0/12
1736Y-1340100000,NBH-GSW-AP055,D8:84:66:E2:43:7D,44,6,172.21.71.142,NBH-A09-SW-GSW-Gi2/0/9
1736Y-1340200000,NBH-L2SW-AP257,D8:84:66:E2:43:82,44,1,172.21.70.229,NBH-A20-SW-2SW-Gi4/0/5
