1736Y-1338400000,2SE-161
1736Y-1338700000,2SE-036
1736Y-1338800000,2SE-041
1736Y-1338900000,GSW-243
1736Y-1339000000,2NW-145
1736Y-1339100000,2SE-008
1736Y-1339200000,2SE-042
1736Y-1339300000,2SE-157
1736Y-1339400000,GSW-230
1736Y-1339500000,GSE-119
1736Y-1339600000,GSW-221
1736Y-1339700000,GSW-218
1736Y-1339800000,7NE-006
1736Y-1339900000,7NE-007
1736Y-1340000000,GSW-072
1736Y-1340100000,GSW-235
1736Y-1340200000,2SW-180
1736Y-1340300000,BNW-033
1736Y-1340400000,7NE-013
1736Y-1340500000,GNE-330
1736Y-1340600000,GSE-116
1736Y-1340700000,GNE-297
1736Y-1340800000,2SW-084
1736Y-1340900000,3SW-045
1736Y-1341000000,5SW-105
1736Y-1341100000,7NE-015
1736Y-1341200000,GSE-121
1736Y-1341300000,7NW-009
1736Y-1341400000,5SE-089
1736Y-1341500000,GSW-220
1736Y-1341600000,GSW-231
1736Y-1341700000,5SW-096
1736Y-1341800000,1SW-157
1736Y-1341900000,3SE-003
1736Y-1342000000,3SW-011
1736Y-1342100000,GNE-320
1736Y-1342200000,5SW-100
1736Y-1342300000,2SW-160
1736Y-1342400000,7NW-012
1736Y-1342500000,2NW-158
1736Y-1342600000,2NW-117
1736Y-1342700000,GSE-120
1736Y-1342800000,2NE-150
1736Y-1342900000,GSW-234
1736Y-1343000000,2SE-028
1736Y-1343100000,4NW-081
1736Y-1343200000,4NW-064
1736Y-1343300000,GNE-327
1736Y-1343400000,6NE-033
1736Y-1343500000,4NW-070
1736Y-1343600000,6NE-027
1736Y-1343700000,4NW-073
1736Y-1343800000,1NE-263
1736Y-1343900000,4NW-023
1736Y-1344000000,BNW-080
1736Y-1344100000,1NE-145
1736Y-1344200000,4NW-096
1736Y-1344300000,4NW-050
1736Y-1344400000,6NW-040
1736Y-1344500000,4NW-032
1736Y-1344600000,1SW-147
1736Y-1344700000,GNE-190
1736Y-1344800000,5SW-090
1736Y-1344900000,1SW-117
1736Y-1345000000,1NE-087
1736Y-1345100000,5SW-087
1736Y-1345200000,5SE-083
1736Y-1345300000,5SE-098
1736Y-1345400000,5SE-092
1736Y-1345500000,3SW-035
1736Y-1345600000,3SW-005
1736Y-1345700000,4NW-028
1736Y-1345800000,BNE-018
1736Y-1345900000,GNE-037
1736Y-1346000000,5SE-123
1736Y-1346100000,GNE-167
1736Y-1346200000,1NE-002
1736Y-1346300000,5NW-115
1736Y-1346400000,6NW-028
1736Y-1346500000,1NE-153
1736Y-1346600000,1NW-126
1736Y-1346700000,BNE-085
1736Y-1346800000,3SW-002
1736Y-1346900000,3SW-026
1736Y-1347000000,BNE-062
1736Y-1347100000,4NW-093
1736Y-1347200000,6NW-029
1736Y-1347300000,1NW-320
1736Y-1347400000,GNE-072
1736Y-1347500000,1NW-377
1736Y-1347600000,4NE-172
1736Y-1347700000,4NW-015
1736Y-1347800000,NA
1736Y-1347900000,4NW-038
1736Y-1348000000,3SW-014
1736Y-1348100000,GSE-036
1736Y-1348200000,4SE-182
1736Y-1348300000,5SW-108
1736Y-1348400000,8NE-007
1736Y-1348500000,GNW-220
1736Y-1348600000,1NE-094
1736Y-1348700000,4NW-002
1736Y-1348800000,1SW-074
1736Y-1348900000,1NE-088
1736Y-1349000000,GNW-230
1736Y-1349100000,3NW-078
1736Y-1349200000,GNW-101
1736Y-1349300000,6NW-004
1736Y-1349400000,3NW-076
1736Y-1349500000,BNE-065
1736Y-1349600000,GNW-226
1736Y-1349700000,BSW-030
1736Y-1349800000,6SW-104
1736Y-1349900000,2SE-142
1736Y-1350000000,BNE-068
1736Y-1350100000,GNE-316
1736Y-1350200000,BNW-085
1736Y-1350300000,BSW-023
1736Y-1350400000,BNE-066
1736Y-1350500000,4SE-135
1736Y-1350600000,1SE-233
1736Y-1350700000,7NW-016
1736Y-1350800000,GNW-097
1736Y-1350900000,6NW-038
1736Y-1351000000,BNE-080
1736Y-1351100000,BNW-083
1736Y-1351200000,GNW-046
1736Y-1351300000,GNE-310
1736Y-1351400000,3SE-014
1736Y-1351500000,7NE-017
1736Y-1351600000,6NW-002
1736Y-1351700000,4SE-125
1736Y-1351800000,5NE-122
1736Y-1351900000,7NW-019
1736Y-1352000000,4SW-257
1736Y-1352100000,4SW-252
1736Y-1352200000,5NW-112
1736Y-1352300000,BNW-078
1736Y-1352400000,6NW-021
1736Y-1352500000,5NW-106
1736Y-1352600000,5NE-126
1736Y-1352700000,5NE-051
1736Y-1352800000,5NE-127
1736Y-1352900000,4SW-245
